1  0.00
1 : 0.00 2 : 312.00 3 : 19.00 4 : 58.00
1 : 0.00 2 : 556.00 3 : 48.00 4 : 195.00
1 : 0.00 2 : 605.00 3 : 0.00 4 : 273.00
1 : 0.00 2 : 97.00 3 : 0.00 4 : 19.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 253.00 2 : 19.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 87.00 3 : 48.00 4 : 29.00
1 : 0.00 2 : 156.00 3 : 78.00 4 : 185.00
1 : 0.00 2 : 234.00 3 : 68.00 4 : 351.00
1 : 0.00 2 : 224.00 3 : 0.00 4 : 439.00
1 : 0.00 2 : 29.00 3 : 0.00 4 : 87.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 351.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 146.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 107.00 3 : 29.00 4 : 9.00
1 : 0.00 2 : 371.00 3 : 48.00 4 : 107.00
1 : 0.00 2 : 527.00 3 : 39.00 4 : 283.00
1 : 0.00 2 : 263.00 3 : 0.00 4 : 253.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 302.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 48.00 3 : 29.00 4 : 0.00
1 : 0.00 2 : 214.00 3 : 48.00 4 : 87.00
1 : 0.00 2 : 468.00 3 : 48.00 4 : 205.00
1 : 0.00 2 : 507.00 3 : 9.00 4 : 341.00
1 : 0.00 2 : 146.00 3 : 0.00 4 : 263.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 292.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 87.00 2 : 58.00 3 : 29.00 4 : 9.00
1 : 0.00 2 : 332.00 3 : 39.00 4 : 97.00
1 : 0.00 2 : 546.00 3 : 29.00 4 : 234.00
1 : 0.00 2 : 498.00 3 : 0.00 4 : 244.00
1 : 0.00 2 : 107.00 3 : 0.00 4 : 68.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 361.00 2 : 39.00 3 : 0.00 4 : 0.00
1 : 9.00 2 : 126.00 3 : 9.00 4 : 9.00
1 : 0.00 2 : 341.00 3 : 48.00 4 : 107.00
1 : 0.00 2 : 488.00 3 : 39.00 4 : 263.00
1 : 0.00 2 : 400.00 3 : 0.00 4 : 361.00
